,CAD Event Number,Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
1641174,2018000074004,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,02/28/2018 11:54:04 PM,02/28/2018 11:54:04 PM,WEST,KING,K1
4183240,2013000125246,ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),2,"ALARM - COMM, HOLD-UP/PANIC (EXCEPT BANKS)",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,04/14/2013 02:59:10 PM,04/14/2013 03:36:02 PM,NORTH,BOY,B1
4926206,2015000179167,REPORT WRITTEN (NO ARREST),911,1,MISSING - CHILD,--PERSON - RUNAWAY,05/30/2015 01:46:43 PM,05/30/2015 02:05:35 PM,SOUTHWEST,FRANK,F1
3804878,2021000243403,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,09/16/2021 05:09:18 AM,09/16/2021 05:09:18 AM,EAST,GEORGE,G2
3001882,2022000217103,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,08/17/2022 07:52:04 AM,08/17/2022 08:05:26 AM,WEST,DAVID,D1
4338476,2016000176835,REPORT WRITTEN (NO ARREST),911,3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MOVING VIOLATION,05/20/2016 04:47:24 PM,05/20/2016 05:10:25 PM,SOUTHWEST,FRANK,F3
2820975,2014000125338,ASSISTANCE RENDERED,911,2,ORDER - VIOLATION OF COURT ORDER (NON DV),--DV - ASSIST VICTIM BY COURT ORDER,04/24/2014 12:14:49 PM,04/24/2014 12:20:10 PM,NORTH,LINCOLN,L3
3789441,2015000433254,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,-OFF DUTY EMPLOYMENT,12/14/2015 04:46:55 PM,12/14/2015 04:46:55 PM,WEST,DAVID,D3
325483,2013000089502,NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,DIST - DV - NO ASLT,"--DV - ARGUMENTS, DISTURBANCE (NO ARREST)",03/16/2013 05:20:22 PM,03/16/2013 05:27:37 PM,NORTH,UNION,U3
4381309,2015000416965,PHYSICAL ARREST MADE,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--WARRANT SERVICES - MISDEMEANOR,11/30/2015 09:40:16 PM,11/30/2015 09:53:30 PM,WEST,DAVID,D2
1279292,2020000139004,ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,04/26/2020 05:15:48 PM,04/26/2020 05:20:18 PM,NORTH,NORA,N2
240971,2019000322125,REPORT WRITTEN (NO ARREST),911,1,DIST - IP/JO - DV DIST - NO ASLT,--CRISIS COMPLAINT - GENERAL,08/29/2019 10:12:45 AM,08/29/2019 10:20:15 AM,SOUTH,SAM,S3
1668349,2012000272699,ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,08/16/2012 10:40:14 PM,08/16/2012 10:40:15 PM,WEST,KING,K3
4998152,2018000095438,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,03/17/2018 01:09:28 AM,03/17/2018 01:09:28 AM,WEST,DAVID,D1
3721967,2017000122135,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,-OFF DUTY EMPLOYMENT,04/07/2017 06:59:41 PM,04/07/2017 06:59:41 PM,WEST,MARY,M3
4877921,2012000408092,REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),"--ASSAULTS, OTHER",11/29/2012 03:21:03 PM,11/29/2012 03:24:31 PM,WEST,KING,K3
3111642,2013000064255,ASSISTANCE RENDERED,ONVIEW,7,PREDICTIVE POLICING,--PREDICTIVE POLICING PATROL,02/24/2013 11:11:35 PM,02/24/2013 11:11:35 PM,EAST,EDWARD,E2
2182992,2013000275554,NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,7,PREDICTIVE POLICING,--PREDICTIVE POLICING PATROL,08/02/2013 04:11:08 AM,08/02/2013 04:11:08 AM,SOUTHWEST,WILLIAM,W2
4183948,2015000258851,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,-OFF DUTY EMPLOYMENT,07/28/2015 07:22:08 AM,07/28/2015 07:22:08 AM,SOUTHWEST,WILLIAM,W2
3514062,2012000392470,PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,11/15/2012 08:18:26 PM,11/15/2012 08:18:26 PM,EAST,GEORGE,G3
2916190,2022000065050,PROBLEM SOLVING PROJECT,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,03/15/2022 08:31:08 PM,03/15/2022 08:31:08 PM,SOUTHWEST,FRANK,F2
3959034,2017000030207,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,01/25/2017 01:00:38 PM,01/25/2017 01:00:38 PM,EAST,CHARLIE,C3
4980332,2013000124616,PHYSICAL ARREST MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--WARRANT SERVICES - FELONY,04/13/2013 11:31:49 PM,04/13/2013 11:31:49 PM,NORTH,JOHN,J3
3115947,2022000103745,-,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC STOP - OFFICER INITIATED ONVIEW,04/25/2022 09:15:36 PM,04/25/2022 09:15:36 PM,SOUTH,ROBERT,R3
2230900,2013000349151,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC - MOVING VIOLATION,09/25/2013 11:27:56 AM,09/25/2013 11:27:56 AM,NORTH,LINCOLN,L1
2234799,2011000223654,REPORT WRITTEN (NO ARREST),911,6,"SECONDARY - PROPERTY, LOST OR MISSING",--PROPERTY - MISSING PROPERTY,07/10/2011 08:12:31 PM,07/10/2011 08:12:34 PM,SOUTHWEST,WILLIAM,W1
4948988,2016000331325,ASSISTANCE RENDERED,911,2,FIGHT - VERBAL/ORAL (NO WEAPONS),--DISTURBANCE - OTHER,09/12/2016 06:01:47 PM,09/12/2016 07:38:16 PM,NORTH,UNION,U3
681090,2017000446230,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,12/03/2017 05:15:28 PM,12/03/2017 05:15:28 PM,SOUTH,OCEAN,O2
115297,2011000070153,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,03/02/2011 05:30:59 AM,03/02/2011 05:30:59 AM,WEST,QUEEN,Q2
3907718,2012000444976,ASSISTANCE RENDERED,911,2,FIGHT - VERBAL/ORAL (NO WEAPONS),--DISTURBANCE - OTHER,12/31/2012 05:43:24 AM,12/31/2012 05:47:40 AM,WEST,DAVID,D2
3880789,2009000413503,ORAL WARNING GIVEN,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,11/28/2009 09:22:57 PM,11/28/2009 09:22:57 PM,WEST,KING,K2
1894088,2018000302642,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,08/14/2018 05:31:28 PM,08/14/2018 05:31:28 PM,EAST,GEORGE,G3
2628435,2019000273503,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,07/25/2019 11:57:39 AM,07/25/2019 11:57:39 AM,WEST,MARY,M3
3250684,2011000137642,ASSISTANCE RENDERED,911,2,TRESPASS,--PROWLER - TRESPASS,04/30/2011 08:38:30 PM,04/30/2011 09:00:29 PM,NORTH,BOY,B2
4213411,2017000304682,ASSISTANCE RENDERED,911,1,"TREES DOWN, OBSTRUCTING PUBLIC PROP (NO HAZ)",--ASSIST OTHER AGENCY - CITY AGENCY,08/17/2017 06:20:44 PM,08/17/2017 06:37:07 PM,SOUTH,OCEAN,O3
2737868,2018000312237,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),08/21/2018 10:06:21 PM,08/21/2018 10:06:21 PM,SOUTHWEST,WILLIAM,W1
3571471,2014000386288,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,FOLLOW UP,--DISTURBANCE - OTHER,11/18/2014 03:36:28 PM,11/18/2014 04:47:51 PM,NORTH,JOHN,J2
4488028,2022000081767,ASSISTANCE RENDERED,911,1,HAZ - IMMINENT THRT TO PHYS SAFETY (NO HAZ MAT),--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,04/02/2022 01:26:50 PM,04/02/2022 01:36:39 PM,EAST,EDWARD,E3
3805504,2009000354114,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE","ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",10/07/2009 12:20:34 PM,10/07/2009 12:47:45 PM,NORTH,UNION,U1
2986693,2009000209153,REPORT WRITTEN (NO ARREST),ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--PERSON - MISSING PERSON,06/17/2009 06:29:42 AM,06/17/2009 06:29:42 AM,NORTH,NORA,N2
397512,2010000443931,REPORT WRITTEN (NO ARREST),911,3,"ACC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MV COLLISION INVESTIGATION,12/27/2010 03:12:37 PM,12/27/2010 03:28:50 PM,NORTH,BOY,B1
784511,2010000303488,REPORT WRITTEN (NO ARREST),ONVIEW,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - CAR PROWL,08/30/2010 03:37:56 PM,08/30/2010 03:37:56 PM,WEST,MARY,M1
3730485,2013000183984,DUPLICATED OR CANCELLED BY RADIO,911,3,BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURG - RES (INCL UNOCC STRUCTURES ON PROP),05/30/2013 05:57:34 PM,01/01/1900 12:00:00 AM,NORTH,UNION,U3
1757722,2011000273456,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,BURG - RES (INCL UNOCC STRUCTURES ON PROP),--THEFT - ALL OTHER,08/20/2011 11:10:06 AM,08/20/2011 12:16:05 PM,WEST,DAVID,D3
3907911,2021000332210,REPORT WRITTEN (NO ARREST),911,2,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),"--ASSAULTS, OTHER",12/17/2021 07:51:18 AM,12/17/2021 08:37:08 AM,WEST,KING,K1
678876,2021000233774,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,NUISANCE - MISCHIEF,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,09/06/2021 07:03:35 PM,01/01/1900 12:00:00 AM,NORTH,LINCOLN,L1
1358768,2013000171530,ASSISTANCE RENDERED,ONVIEW,7,PREDICTIVE POLICING,--PREMISE CHECKS - CRIME PREVENTION,05/21/2013 08:45:23 PM,05/21/2013 08:45:23 PM,EAST,EDWARD,E1
736203,2015000331594,ASSISTANCE RENDERED,ONVIEW,4,REQUEST TO WATCH,--PREMISE CHECKS - CRIME PREVENTION,09/21/2015 08:50:29 PM,09/21/2015 08:50:29 PM,NORTH,JOHN,J1
4585193,2010000194848,ORAL WARNING GIVEN,ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--NARCOTICS - OTHER,06/10/2010 03:35:21 AM,06/10/2010 03:35:21 AM,WEST,KING,K3
1908747,2016000149437,REPORT WRITTEN (NO ARREST),ONVIEW,3,AUTO RECOVERY,--AUTOMOBILES - RECOVERY (THEFT),04/30/2016 11:36:16 AM,04/30/2016 12:48:53 PM,SOUTH,OCEAN,O1
1758094,2015000208049,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),06/20/2015 02:14:29 PM,06/20/2015 02:14:29 PM,SOUTH,SAM,S3
3734927,2021000300724,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,11/12/2021 05:19:40 PM,11/12/2021 05:19:40 PM,SOUTHWEST,WILLIAM,W2
2215429,2017000312953,ASSISTANCE RENDERED,911,2,FIGHT - JO - PHYSICAL (NO WEAPONS),--DISTURBANCE - OTHER,08/24/2017 02:22:01 AM,08/24/2017 02:31:56 AM,SOUTH,OCEAN,O2
4100568,2019000195649,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--PREMISE CHECKS - CRIME PREVENTION,05/30/2019 04:17:24 PM,05/30/2019 04:17:24 PM,SOUTH,OCEAN,O1
1649131,2017000235250,PHYSICAL ARREST MADE,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,"--WEAPON, PERSON WITH - GUN",06/29/2017 09:09:59 PM,06/29/2017 09:09:59 PM,WEST,KING,K3
4496599,2016000380830,ASSISTANCE RENDERED,911,3,"NOISE - DISTURBANCE (PARTY, ETC)",--DISTURBANCE - NOISE,10/21/2016 06:03:55 AM,10/21/2016 06:43:50 AM,WEST,QUEEN,Q1
3895029,2017000161344,ORAL WARNING GIVEN,911,2,TRESPASS,--PROWLER - TRESPASS,05/08/2017 02:03:13 PM,05/08/2017 02:08:27 PM,SOUTH,ROBERT,R2
731685,2016000190999,PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,05/31/2016 06:21:29 AM,05/31/2016 06:21:29 AM,WEST,KING,K3
1356574,2014000147863,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",1,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,--CRISIS COMPLAINT - GENERAL,05/13/2014 04:07:09 AM,05/13/2014 04:11:43 AM,WEST,MARY,M2
960548,2017000478449,REPORT WRITTEN (NO ARREST),911,2,DIST - DV - NO ASLT,"--DV - ARGUMENTS, DISTURBANCE (NO ARREST)",12/30/2017 03:55:56 PM,12/30/2017 04:29:20 PM,NORTH,UNION,U3
304719,2011000139094,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - REQUEST TO WATCH,05/02/2011 04:23:45 AM,05/02/2011 04:23:45 AM,NORTH,JOHN,J3
4039591,2014000245301,ASSISTANCE RENDERED,ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,07/26/2014 08:05:38 PM,07/26/2014 08:05:38 PM,WEST,MARY,M3
4751151,2015000369779,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,10/22/2015 11:12:40 AM,10/22/2015 11:12:40 AM,WEST,MARY,M3
2896729,2017000058728,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - CAR PROWL,02/17/2017 07:27:30 AM,02/17/2017 07:56:28 AM,NORTH,UNION,U2
1921268,2022000038240,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - MVC - HIT AND RUN,--TRAFFIC - MV COLLISION INVESTIGATION,02/14/2022 08:44:39 AM,02/14/2022 08:45:12 AM,SOUTH,SAM,S3
2602393,2013000156815,ASSISTANCE RENDERED,ONVIEW,2,ASSIST OTHER AGENCY - ROUTINE SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),05/10/2013 05:10:15 AM,05/10/2013 05:10:15 AM,NORTH,NORA,N3
836923,2021000019060,ASSISTANCE RENDERED,911,3,"BIAS -RACIAL, POLITICAL, SEXUAL MOTIVATION",--DISTURBANCE - OTHER,01/23/2021 01:54:11 PM,01/23/2021 03:09:37 PM,SOUTH,SAM,S2
4888304,2009000233069,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,--ASSIST OTHER AGENCY - CITY AGENCY,07/05/2009 01:47:04 AM,07/05/2009 01:48:57 AM,NORTH,UNION,U2
2384637,2016000438134,ASSISTANCE RENDERED,911,3,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),12/05/2016 10:55:45 PM,12/05/2016 11:04:58 PM,NORTH,NORA,N2
3965829,2015000131245,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - CAR PROWL,04/22/2015 10:19:01 AM,04/22/2015 11:57:02 AM,NORTH,JOHN,J2
1448747,2018000413655,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,--AUTOMOBILES - AUTO THEFT,11/04/2018 02:41:00 PM,11/04/2018 03:51:27 PM,WEST,QUEEN,Q1
3408380,2012000051148,ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,02/19/2012 07:04:59 PM,02/19/2012 07:04:59 PM,WEST,MARY,M2
4480904,2012000388407,PROBLEM SOLVING PROJECT,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,11/12/2012 01:57:55 PM,11/12/2012 01:57:55 PM,WEST,KING,K3
1721608,2017000453545,ASSISTANCE RENDERED,911,2,BURG - COMM BURGLARY (INCLUDES SCHOOLS),--PROWLER - TRESPASS,12/09/2017 06:23:49 AM,12/09/2017 06:27:58 AM,EAST,EDWARD,E2
4915270,2013000048661,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,02/11/2013 08:15:36 PM,02/11/2013 08:15:36 PM,WEST,MARY,M2
4532014,2018000154842,REPORT WRITTEN (NO ARREST),ONVIEW,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - CAR PROWL,05/02/2018 09:45:09 AM,05/02/2018 09:45:09 AM,SOUTHWEST,FRANK,F1
3521941,2022000206169,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,08/06/2022 03:00:45 PM,08/06/2022 04:18:45 PM,WEST,MARY,M1
2077963,2010000010697,ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,01/10/2010 12:39:46 PM,01/10/2010 12:39:46 PM,NORTH,NORA,N3
448986,2015000124054,ASSISTANCE RENDERED,ONVIEW,9,-ASSIGNED DUTY - REPORTS,-ASSIGNED DUTY - REPORTS,04/16/2015 02:29:00 PM,04/16/2015 02:29:00 PM,WEST,DAVID,D2
4840228,2013000199172,ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,06/09/2013 05:57:35 PM,06/09/2013 06:13:18 PM,NORTH,UNION,U2
1284041,2021000129745,REPORT WRITTEN (NO ARREST),911,2,PROPERTY - DAMAGE,--DISTURBANCE - OTHER,05/26/2021 09:28:10 PM,05/26/2021 10:36:48 PM,NORTH,UNION,U3
3274706,2014000147394,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",6,SECONDARY - THEFT (NOT SHOPLIFT OR SERVICES),--THEFT - CAR PROWL,05/12/2014 06:05:40 PM,05/12/2014 06:31:54 PM,SOUTH,OCEAN,O1
4409823,2010000073706,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--CRISIS COMPLAINT - GENERAL,03/05/2010 03:43:43 PM,03/05/2010 03:47:32 PM,WEST,DAVID,D2
2670596,2013000041642,ORAL WARNING GIVEN,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,02/06/2013 12:11:45 AM,02/06/2013 12:11:45 AM,SOUTH,SAM,S2
428208,2022000012013,REPORT WRITTEN (NO ARREST),911,2,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,--DISTURBANCE - OTHER,01/15/2022 11:07:47 AM,01/15/2022 11:57:45 AM,EAST,EDWARD,E1
2138887,2012000207505,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,07/01/2012 01:27:52 AM,07/01/2012 01:27:52 AM,SOUTH,SAM,S3
3185167,2010000212990,ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--INTOX & LIQ VIOLS - INTOXICATED PERSON,06/23/2010 11:35:50 AM,06/23/2010 11:35:50 AM,WEST,QUEEN,Q3
530129,2017000096534,PHYSICAL ARREST MADE,911,1,"DISTURBANCE, MISCELLANEOUS/OTHER",--PROPERTY DEST (DAMG),03/18/2017 10:10:26 PM,03/18/2017 10:14:02 PM,EAST,EDWARD,E3
906223,2010000333409,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,09/23/2010 02:39:09 PM,09/23/2010 02:39:09 PM,WEST,QUEEN,Q3
4146472,2014000135232,ORAL WARNING GIVEN,911,3,LIQUOR VIOLATIONS - ADULT,--INTOX & LIQ VIOLS - INTOXICATED PERSON,05/02/2014 02:21:42 PM,05/02/2014 02:26:51 PM,NORTH,UNION,U2
3895888,2020000249667,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--PREMISE CHECKS - CRIME PREVENTION,08/25/2020 02:30:29 PM,08/25/2020 02:30:29 PM,SOUTHWEST,WILLIAM,W1
4340527,2009000261443,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,07/26/2009 03:46:18 PM,07/26/2009 04:12:28 PM,NORTH,BOY,B1
651229,2012000011845,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,01/12/2012 12:03:48 PM,01/12/2012 12:19:53 PM,NORTH,BOY,B2
1053172,2016000335573,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",2,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",--NARCOTICS - NARS REPORT,09/15/2016 09:17:15 PM,09/15/2016 09:46:45 PM,WEST,DAVID,D1
2763041,2021000097143,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,"AUTO - THEFT/LOSS, PLATES AND/OR TAB",--AUTOMOBILES - LICENSE PLATE(S) THEFT OR LOSS,04/21/2021 03:09:33 PM,04/21/2021 04:20:21 PM,SOUTHWEST,FRANK,F1
776006,2017000276557,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",1,"WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",--DISTURBANCE - OTHER,07/28/2017 04:41:27 PM,07/28/2017 04:42:41 PM,EAST,EDWARD,E3
4554617,2009000308989,ASSISTANCE RENDERED,911,2,DIST - DV - NO ASLT,"--DV - ARGUMENTS, DISTURBANCE (NO ARREST)",09/01/2009 10:55:07 AM,09/01/2009 12:05:39 PM,SOUTH,SAM,S2
3538407,2015000150277,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,05/08/2015 06:07:42 AM,05/08/2015 06:07:42 AM,WEST,KING,K2
2395235,2019000420076,RESPONDING UNIT(S) CANCELLED BY RADIO,911,1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),"--ASSIST PUBLIC - 911 HANG UP, OPEN LINE",11/11/2019 10:27:04 AM,01/01/1900 12:00:00 AM,NORTH,BOY,B1
3408084,2019000454639,REPORT WRITTEN (NO ARREST),911,3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,--AUTOMOBILES - AUTO THEFT,12/08/2019 08:47:49 PM,12/08/2019 09:10:22 PM,NORTH,BOY,B2
3573328,2010000170649,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",2,"OPEN - BUILDING, DOOR, ETC.",--BURGLARY - NON RESIDENTIAL/COMMERCIAL,05/24/2010 01:37:13 AM,05/24/2010 01:43:40 AM,NORTH,BOY,B3
4057310,2018000196540,DUPLICATED OR CANCELLED BY RADIO,911,1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),05/31/2018 03:04:26 PM,01/01/1900 12:00:00 AM,WEST,KING,K1
95744,2022000241343,ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,09/10/2022 01:12:26 AM,09/10/2022 02:53:19 AM,NORTH,LINCOLN,L3
3607905,2010000205739,TRANSPORTATION OR ESCORT PROVIDED,911,2,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),--CRISIS COMPLAINT - GENERAL,06/17/2010 11:44:37 PM,06/17/2010 11:45:10 PM,WEST,QUEEN,Q2
476412,2021000275944,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,"AUTO - THEFT/LOSS, PLATES AND/OR TAB",10/18/2021 10:05:43 AM,10/18/2021 10:44:42 AM,EAST,CHARLIE,C1
680206,2018000330856,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,09/04/2018 09:53:38 PM,09/04/2018 09:53:38 PM,SOUTHWEST,FRANK,F1
1232882,2014000142268,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,TRAFFIC - MOVING VIOLATION,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,05/08/2014 11:59:23 AM,05/08/2014 12:28:47 PM,NORTH,LINCOLN,L1
